iteration,node_id,source_model,kind,category,rank,pp_stage,pp_lane,microbatch,predicted_start_ns,predicted_end_ns,duration_ns,network_service_ns,software_completion_ns,group_key,dependency
55,rank168:F2,pipeline,compute,forward,168,10,8,2,1785477748811214345,1785477749121384476,310170131,0,0,,lane8:F2:s9->s10
55,lane8:F0:s12->s13,pipeline,pp_message,forward,-1,12,8,0,1785477748931057791,1785477748935770137,4712346,4712346,0,,rank200:F0
55,rank216:F0,pipeline,compute,forward,216,13,8,0,1785477748935770137,1785477749250903170,315133033,0,0,,lane8:F0:s12->s13
55,lane8:F1:s11->s12,pipeline,pp_message,forward,-1,11,8,1,1785477749108354577,1785477749113066923,4712346,4712346,0,,rank184:F1
55,rank200:F1,pipeline,compute,forward,200,12,8,1,1785477749113066923,1785477749420959033,307892110,0,0,,lane8:F1:s11->s12
55,lane8:F2:s10->s11,pipeline,pp_message,forward,-1,10,8,2,1785477749121384476,1785477749126096822,4712346,4712346,0,,rank168:F2
55,rank184:F2,pipeline,compute,forward,184,11,8,2,1785477749126096822,1785477749432296488,306199666,0,0,,lane8:F2:s10->s11
55,lane8:F3:s9->s10,pipeline,pp_message,forward,-1,9,8,3,1785477749130159160,1785477749134871506,4712346,4712346,0,,rank152:F3
55,rank168:F3,pipeline,compute,forward,168,10,8,3,1785477749134871506,1785477749589788206,454916700,0,0,,lane8:F3:s9->s10
55,lane8:F0:s13->s14,pipeline,pp_message,forward,-1,13,8,0,1785477749250903170,1785477749255615516,4712346,4712346,0,,rank216:F0
55,rank232:F0,pipeline,compute,forward,232,14,8,0,1785477749255615516,1785477749577683109,322067593,0,0,,lane8:F0:s13->s14
55,lane8:F1:s12->s13,pipeline,pp_message,forward,-1,12,8,1,1785477749420959033,1785477749425671379,4712346,4712346,0,,rank200:F1
55,rank216:F1,pipeline,compute,forward,216,13,8,1,1785477749425671379,1785477749886370675,460699296,0,0,,lane8:F1:s12->s13
55,lane8:F2:s11->s12,pipeline,pp_message,forward,-1,11,8,2,1785477749432296488,1785477749437008834,4712346,4712346,0,,rank184:F2
55,rank200:F2,pipeline,compute,forward,200,12,8,2,1785477749437008834,1785477749745199094,308190260,0,0,,lane8:F2:s11->s12
55,lane8:F0:s14->s15,pipeline,pp_message,forward,-1,14,8,0,1785477749577683109,1785477749582395455,4712346,4712346,0,,rank232:F0
55,rank248:F0,pipeline,compute,forward,248,15,8,0,1785477749582395455,1785477749778067926,195672471,0,0,,lane8:F0:s14->s15
55,lane8:F3:s10->s11,pipeline,pp_message,forward,-1,10,8,3,1785477749589788206,1785477749594500552,4712346,4712346,0,,rank168:F3
55,rank184:F3,pipeline,compute,forward,184,11,8,3,1785477749594500552,1785477749901579545,307078993,0,0,,lane8:F3:s10->s11
55,lane8:F2:s12->s13,pipeline,pp_message,forward,-1,12,8,2,1785477749745199094,1785477749749911440,4712346,4712346,0,,rank200:F2
55,rank248:B0,pipeline,compute,backward,248,15,8,0,1785477749778067926,1785477750166457741,388389815,0,0,,rank248:F0
